Unnamed: 0,Code,Transport,Longitude,Latitude,Station,District.Name,Neighborhood.Name
20,K001,Underground,2.215909,41.41174,METRO (L4) - EL MARESME-FÒRUM (C. del Maresme)-,Sant Martí,el Besòs i el Maresme
21,K001,Underground,2.163252,41.385015,METRO (L2) - UNIVERSITAT-,Eixample,Sant Antoni
22,K011,Tram,2.197653,41.411242,"TRAMVIA (T5, T6) - ESPRONCEDA-",Sant Martí,Provençals del Poblenou
23,K011,Tram,2.115012,41.38048,"TRAMVIA (T1,T2,T3) - AVINGUDA DE XILE-",Les Corts,la Maternitat i Sant Ramon
24,K011,Tram,2.106023,41.376071,"TRAMVIA (T1,T2,T3) - CAN RIGAL-",Sarrià-Sant Gervasi,la Maternitat i Sant Ramon
25,K011,Tram,2.222916,41.430456,TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-,Gràcia,Sant Joan Baptista
26,K011,Tram,2.219829,41.411777,TRAMVIA (T4) - FÒRUM-,Sant Martí,el Besòs i el Maresme
27,K011,Tram,2.230412,41.423854,"TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-",Gràcia,Sant Joan Baptista
28,K011,Tram,2.062227,41.360383,"TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-",Ciutat Vella,Fontsanta - Fatjó
29,K008,Maritime station,2.182868,41.370929,Estació Marítima INTERNACIONAL-,Ciutat Vella,el Raval
30,K001,Underground,2.125369,41.357005,FGC (L8) - EUROPA / FIRA-,Sants-Montjuïc,Sants - Badal
31,K001,Underground,2.178826,41.444145,METRO (L4) - VIA JÚLIA (Via Júlia - Joaquim Valls)-,Nou Barris,la Prosperitat
32,K001,Underground,2.141603,41.380858,METRO (L3) - SANTS ESTACIÓ (C. de Numància)-,Sants-Montjuïc,Sants
33,K001,Underground,2.171334,41.394796,METRO (L4) - GIRONA (C. de Girona)-,Eixample,la Dreta de l'Eixample
34,K001,Underground,2.172883,41.436715,METRO (L4) - LLUCMAJOR (Pg. del Verdum)-,Nou Barris,la Guineueta
35,K001,Underground,2.127313,41.375605,METRO (L5) - BADAL-,Sants-Montjuïc,Sants - Badal
36,K001,Underground,2.202855,41.403481,METRO (L4) - POBLENOU (C. de Pujades)-,Sant Martí,el Poblenou
37,K001,Underground,2.180781,41.423505,METRO (L5) - CONGRÉS (C. de Garcilaso)-,Sant Andreu,el Congrés i els Indians
38,K001,Underground,2.14909,41.374291,METRO (L3) - ESPANYA (Pl. d'Espanya)-,Sants-Montjuïc,el Poble-sec
39,K003,RENFE,2.181768,41.496321,RENFE - MONTCADA-RIPOLLET-,Nou Barris,Torre Baró
40,K003,RENFE,2.170436,41.388108,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
41,K003,RENFE,2.09108,41.331201,RENFE - EL PRAT DE LLOBREGAT-,Gràcia,la Maternitat i Sant Ramon
42,K011,Tram,2.076889,41.365513,"TRAMVIA (T1,T2) - EL PEDRÒ-",Ciutat Vella,el Pedró
43,K001,Underground,2.127857,41.388357,METRO (L3) - MARIA CRISTINA (Pl. de la Reina Maria Cristina)-,Les Corts,les Corts
44,K001,Underground,2.163681,41.384514,METRO (L2) - UNIVERSITAT (Rda. de Sant Antoni)-,Eixample,Sant Antoni
45,K001,Underground,2.106775,41.373558,METRO (L5) - PUBILLA CASES-,Sarrià-Sant Gervasi,la Maternitat i Sant Ramon
46,K001,Underground,2.155013,41.423558,METRO (L5) - EL CARMEL (C. de Llobregós - Mercat)-,Horta-Guinardó,el Carmel
48,K001,Underground,2.072672,41.356107,METRO (L5) - CORNELLÀ CENTRE-,Ciutat Vella,Centre
50,K001,Underground,2.149504,41.419877,METRO (L5) - EL COLL / LA TEIXONERA (C. del Beat Almató)-,Gràcia,el Coll
51,K001,Underground,2.176315,41.404257,METRO (L2) - SAGRADA FAMÍLIA-,Eixample,la Sagrada Família
52,K001,Underground,2.16623,41.412431,METRO (L4) - ALFONS X (Parc de les Aigües)-,Horta-Guinardó,el Baix Guinardó
53,K001,Underground,2.165088,41.412123,METRO (L4) - ALFONS X (Pl. d'Alfons el Savi)-,Horta-Guinardó,el Baix Guinardó
54,K001,Underground,2.224024,41.442346,METRO (L10) - LA SALUT-,Les Corts,la Salut
55,K001,Underground,2.180022,41.400331,METRO (L2) - MONUMENTAL (C. de la Diputació)-,Eixample,el Fort Pienc
56,K001,Underground,2.170433,41.375177,METRO (L3) - PARAL·LEL (C. Nou de la Rambla)-,Ciutat Vella,el Raval
57,K002,Railway (FGC),2.135427,41.397791,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
58,K002,Railway (FGC),2.139248,41.405731,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
59,K011,Tram,2.075814,41.372339,TRAMVIA (T3) - SANT MARTÍ DE L'ERM-,Ciutat Vella,la Maternitat i Sant Ramon
60,K002,Railway (FGC),2.125112,41.39896,FGC - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
